imgMode = 2, analysisMode = 3
x	 NInt	 NFitG	 xG [m]	 yG [m]	 NFitTF	 xTF [m]	 yTF [m]	 x0 [m]	 y0 [m]	
  1.0000000e+000	  8.5664368e+005	  8.9514639e+005	  5.9426806e-001	  5.8851911e-001	  7.5153255e+003	  5.1070573e-001	  4.1192271e-001	  2.2906286e+000	  9.4990038e-001	
  2.0000000e+000	  6.9948037e+005	  7.2246417e+005	  5.9468092e-001	  5.9818650e-001	  1.7510222e+004	  4.6795068e-001	  5.6923983e-001	  2.2822318e+000	  9.5621909e-001	
  3.0000000e+000	  8.1034183e+005	  8.0541087e+005	  5.0028331e-001	  5.0149652e-001	  2.5094725e+004	  2.9990721e-001	  3.0586681e-001	  2.2836680e+000	  9.4306761e-001	
  4.0000000e+000	  1.0712309e+006	  1.0617592e+006	  5.9592128e-001	  5.7465459e-001	  6.6207910e+004	  3.6586575e-001	  3.8068681e-001	  2.3127137e+000	  9.3975992e-001	
  5.0000000e+000	  3.9107317e+005	  3.6447054e+005	  4.9660035e-001	  4.9955694e-001	  3.6056941e+004	  3.4950783e-001	  3.6540843e-001	  2.3135350e+000	  9.4579626e-001	
  6.0000000e+000	  6.1592037e+005	  5.8549999e+005	  4.7889053e-001	  4.8174951e-001	  4.8228350e+004	  3.0964230e-001	  3.1910928e-001	  2.3218581e+000	  9.4821459e-001	
  7.0000000e+000	  5.8548846e+005	  4.9107161e+005	  4.0428724e-001	  3.9840760e-001	  9.2614925e+004	  3.3677299e-001	  3.4730210e-001	  2.3418503e+000	  9.6218236e-001	
  8.0000000e+000	  7.1590206e+005	  6.9522111e+005	  4.1218413e-001	  4.0569955e-001	  1.9703353e+005	  3.5564880e-001	  3.6342003e-001	  2.3341423e+000	  9.5376171e-001	
  9.0000000e+000	  6.9239604e+005	  5.3876566e+005	  3.9353824e-001	  3.7803518e-001	  1.5293164e+005	  3.4271778e-001	  3.4223325e-001	  2.3206157e+000	  9.4542851e-001	
  1.0000000e+001	  6.6237061e+005	  5.6009912e+005	  4.0414197e-001	  3.9742393e-001	  2.0627613e+005	  3.5219712e-001	  3.5978859e-001	  2.2943891e+000	  9.3482100e-001	
  1.1000000e+001	  3.5349885e+005	  2.4450445e+005	  3.1235823e-001	  3.1911509e-001	  1.0785576e+005	  3.2451206e-001	  3.3000739e-001	  2.2774820e+000	  9.2401743e-001	
  1.2000000e+001	  9.8022149e+004	  2.9522728e+005	  2.9088808e-001	  2.9262164e-001	  1.6715051e+005	  3.1186084e-001	  3.1950870e-001	  2.2551772e+000	  9.1356833e-001	
  1.3000000e+001	  4.5915848e+005	  2.7579324e+005	  2.8084096e-001	  2.6630495e-001	  1.8393047e+005	  2.8972648e-001	  2.9694264e-001	  2.2494784e+000	  9.0924464e-001	
